['21.29', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.78', '34.00', '24.00']
['20.80', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['20.80', '34.00', '24.00']
['22.27', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['22.27', '34.00', '24.00']
['22.27', '34.00', '24.00']
['21.78', '34.00', '24.00']
['22.27', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['22.27', '34.00', '24.00']
['21.78', '34.00', '24.00']
['22.27', '34.00', '24.00']
['22.27', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['22.27', '34.00', '24.00']
['21.78', '34.00', '24.00']
['22.27', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['22.27', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.78', '40.00', '25.00']
['21.78', '40.00', '25.00']
['22.27', '38.00', '25.00']
['21.78', '38.00', '25.00']
['21.29', '38.00', '25.00']
['21.78', '37.00', '25.00']
['21.78', '37.00', '25.00']
['21.78', '36.00', '25.00']
['21.78', '36.00', '25.00']
['21.29', '36.00', '25.00']
['21.29', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.29', '34.00', '24.00']
['20.80', '34.00', '24.00']
['21.29', '37.00', '31.00']
['21.78', '44.00', '31.00']
['21.78', '33.00', '25.00']
['21.78', '46.00', '29.00']
['21.29', '47.00', '28.00']
['21.78', '46.00', '28.00']
['21.29', '44.00', '26.00']
['21.29', '40.00', '25.00']
['21.29', '45.00', '27.00']
['21.78', '39.00', '25.00']
['21.29', '36.00', '25.00']
['21.78', '36.00', '24.00']
['21.29', '35.00', '24.00']
['21.29', '35.00', '24.00']
['21.29', '35.00', '24.00']
['21.29', '35.00', '24.00']
['21.29', '35.00', '24.00']
['21.29', '35.00', '24.00']
['21.78', '35.00', '24.00']
['21.29', '35.00', '24.00']
['21.78', '35.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.29', '34.00', '24.00']
['21.78', '34.00', '24.00']
['21.29', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '33.00', '24.00']
['21.29', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['21.29', '34.00', '24.00']
['20.31', '34.00', '24.00']
['21.78', '34.00', '28.00']
['20.80', '34.00', '23.00']
['21.29', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.80', '34.00', '25.00']
['20.31', '36.00', '28.00']
['20.31', '37.00', '28.00']
['21.29', '41.00', '28.00']
['20.31', '47.00', '29.00']
['20.31', '51.00', '31.00']
['20.80', '52.00', '29.00']
['20.80', '51.00', '29.00']
['21.29', '48.00', '28.00']
['20.80', '46.00', '28.00']
['20.31', '49.00', '28.00']
['21.29', '45.00', '26.00']
['20.80', '43.00', '26.00']
['21.29', '43.00', '26.00']
['20.80', '42.00', '26.00']
['20.31', '40.00', '26.00']
['20.80', '39.00', '25.00']
['20.31', '38.00', '25.00']
['20.31', '37.00', '25.00']
['21.29', '37.00', '25.00']
['20.80', '36.00', '25.00']
['20.80', '36.00', '24.00']
['20.80', '36.00', '25.00']
['20.31', '36.00', '24.00']
['21.29', '36.00', '24.00']
['20.80', '35.00', '24.00']
['20.80', '35.00', '24.00']
['20.31', '35.00', '24.00']
['20.80', '35.00', '24.00']
['21.29', '35.00', '24.00']
['20.31', '35.00', '24.00']
['20.80', '35.00', '24.00']
['21.29', '35.00', '24.00']
['20.80', '35.00', '24.00']
['21.29', '41.00', '28.00']
['20.80', '42.00', '28.00']
['19.34', '37.00', '27.00']
['20.31', '41.00', '28.00']
['20.80', '41.00', '27.00']
['21.29', '41.00', '26.00']
['20.80', '38.00', '26.00']
['20.80', '37.00', '26.00']
['20.80', '36.00', '25.00']
['20.80', '36.00', '25.00']
['19.82', '35.00', '25.00']
['21.29', '35.00', '25.00']
['20.31', '53.00', '29.00']
['20.31', '45.00', '29.00']
['20.31', '54.00', '29.00']
['21.29', '54.00', '28.00']
['20.80', '54.00', '28.00']
['20.31', '52.00', '27.00']
['20.31', '49.00', '27.00']
['20.31', '47.00', '26.00']
['20.80', '46.00', '26.00']
['20.80', '45.00', '26.00']
['20.80', '44.00', '26.00']
['20.31', '41.00', '25.00']
['20.80', '43.00', '26.00']
['20.80', '40.00', '25.00']
['20.31', '39.00', '25.00']
['20.80', '39.00', '25.00']
['20.80', '38.00', '25.00']
['20.80', '38.00', '25.00']
['20.31', '37.00', '25.00']
['21.29', '37.00', '25.00']
['20.31', '36.00', '25.00']
['19.82', '36.00', '25.00']
['20.31', '36.00', '25.00']
['20.31', '37.00', '24.00']
['20.80', '36.00', '24.00']
['20.80', '36.00', '25.00']
['20.80', '36.00', '24.00']
['18.85', '36.00', '24.00']
['20.31', '36.00', '24.00']
['20.31', '36.00', '24.00']
['19.82', '36.00', '24.00']
['19.82', '36.00', '24.00']
['20.31', '36.00', '24.00']
['20.31', '36.00', '24.00']
['19.82', '35.00', '24.00']
['20.80', '35.00', '24.00']
['20.80', '35.00', '24.00']
['20.80', '35.00', '24.00']
['20.80', '35.00', '24.00']
['19.82', '35.00', '24.00']
['20.80', '35.00', '24.00']
['20.80', '35.00', '24.00']
['20.80', '35.00', '24.00']
['20.80', '35.00', '24.00']
['20.80', '35.00', '24.00']
['20.31', '35.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['19.82', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.80', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['19.82', '34.00', '23.00']
['19.82', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['19.82', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.80', '34.00', '23.00']
['19.82', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['19.34', '34.00', '23.00']
['19.34', '34.00', '23.00']
['20.80', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.80', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.80', '33.00', '25.00']
['20.80', '36.00', '29.00']
['19.34', '43.00', '30.00']
['19.82', '44.00', '29.00']
['19.82', '44.00', '29.00']
['20.80', '45.00', '28.00']
['19.82', '45.00', '28.00']
['20.80', '43.00', '27.00']
['20.31', '40.00', '26.00']
['20.31', '42.00', '26.00']
['20.80', '39.00', '26.00']
['19.82', '38.00', '25.00']
['20.31', '37.00', '25.00']
['20.31', '36.00', '25.00']
['20.31', '36.00', '25.00']
['20.80', '35.00', '25.00']
['19.82', '36.00', '24.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '35.00', '24.00']
['20.31', '40.00', '28.00']
['20.31', '42.00', '29.00']
['19.82', '46.00', '31.00']
['19.34', '51.00', '31.00']
['20.31', '52.00', '31.00']
['20.80', '53.00', '30.00']
['20.80', '53.00', '29.00']
['20.80', '49.00', '28.00']
['19.82', '51.00', '29.00']
['19.82', '47.00', '28.00']
['20.80', '45.00', '27.00']
['20.31', '44.00', '26.00']
['20.80', '43.00', '26.00']
['20.31', '41.00', '26.00']
['20.80', '39.00', '26.00']
['19.34', '38.00', '25.00']
['19.82', '34.00', '24.00']
['19.82', '34.00', '24.00']
